Willie Allemang|Leonard Nimoy Demonstrates the Magnavision Videodisc Player (1981)
Alonzo Brown (I)|One Flew Over the Cuckoo's Nest (1975)
Billy Brown (II)|Star Trek (2009)
Charles D. Brown (I)|Notorious (1946)
Charles D. Brown (I)|The Big Sleep (1946)
Charles D. Brown (I)|The Grapes of Wrath (1940)
Charles Robert Brown|Terminator 2: Judgment Day (1991)
Clancy Brown (I)|The Shawshank Redemption (1994)
David Harold Brown|Back to the Future (1985)
Everett Brown (I)|Gone with the Wind (1939)
Everett Brown (I)|King Kong (1933)
Greg Brown (VIII)|Forrest Gump (1994)
Jerry Brown (III)|Ben-Hur (1959)
Joe E. Brown|Some Like It Hot (1959)
John Brown (I)|Strangers on a Train (1951)
Morgan Brown (I)|Citizen Kane (1941)
Paul B. Brown (I)|The Godfather: Part II (1974)
Phil Brown (I)|Star Wars (1977)
Robert Brown (I)|Ben-Hur (1959)
Robert Brown (I)|The Third Man (1949)
Scotty Brown (II)|The Grapes of Wrath (1940)
Wally Brown (I)|Notorious (1946)
Alfred Browne|Roman Holiday (1953)
Charles A. Browne|It Happened One Night (1934)
Ray Browne|The Third Man (1949)
Lee Brownfield|Back to the Future (1985)
Alistair Browning|The Lord of the Rings: The Return of the King (2003)
David E. Browning|The Green Mile (1999)
Robert Brubaker (I)|The Sting (1973)
Barry Bruce (II)|There Will Be Blood (2007)
Eddie Bruce|Notorious (1946)
Nigel Bruce|Rebecca (1940)
Robert Bruce (II)|A Clockwork Orange (1971)
Dylan Bruno|Saving Private Ryan (1998)
Nando Bruno|Ladri di biciclette (1948)
Jimmy Bryant (II)|The General (1926)
Michael Bryant (I)|Gandhi (1982)
Paul Bryar|Butch Cassidy and the Sundance Kid (1969)
Paul Bryar|Notorious (1946)
Paul Bryar|The Night of the Hunter (1955)
Paul Bryar|Vertigo (1958)
Rob Brydon|Lock, Stock and Two Smoking Barrels (1998)
Lars Brygmann|Festen (1998)
Paul Bryson (I)|The Lord of the Rings: The Fellowship of the Ring (2001)
Antoine Breant|Le scaphandre et le papillon (2007)
Christian Bruckner|Inglourious Basterds (2009)
Daniel Bruhl|Inglourious Basterds (2009)
Daniel Bruhl|The Bourne Ultimatum (2007)
I. Bubenchikov|Der Untergang (2004)
Stephen Buchanan (I)|Star Wars: Episode V - The Empire Strikes Back (1980)
Horst Buchholz|La vita e bella (1997)
John F. Buchmelter III|The Deer Hunter (1978)
Cory Buck|Magnolia (1999)
Jason Buckham|Snatch. (2000)
Buz Buckley|It's a Wonderful Life (1946)
Roy Bucko|High Noon (1952)
Alexander Buczolich|Schindler's List (1993)
Hal Budlong|The Grapes of Wrath (1940)
Bill Buell|Requiem for a Dream (2000)
Marty Bufalini|Gran Torino (2008)
Misha Bugaev|There Will Be Blood (2007)
Harry Bugin|The Big Lebowski (1998)
Hans Buhringer|Die Hard (1988)
Sergeant Bukowski|The General (1926)
Ray Buktenica|Heat (1995)
Philip Bulcock|The Dark Knight (2008)
Neil S. Bulk|Star Trek (2009)
Peter Bull (I)|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
James Bulleit|Dog Day Afternoon (1975)
Jeremy Bulloch|Star Wars: Episode V - The Empire Strikes Back (1980)
Jeremy Bulloch|Star Wars: Episode VI - Return of the Jedi (1983)
Keith S. Bullock|Leon (1994)
Rodger Bumpass|Monsters, Inc. (2001)
Rodger Bumpass|Sen to Chihiro no kamikakushi (2001)
Edward Bunker (I)|Reservoir Dogs (1992)
Jay Buozzi|Batman Begins (2005)
Sonny Bupp|Citizen Kane (1941)
Tommy Bupp|Mr. Smith Goes to Washington (1939)
Jeff Burbank|Casino (1995)
Dan Burch|Into the Wild (2007)
Raife Patrick Burchell|V for Vendetta (2006)
Pawel Burczyk|The Pianist (2002)
Ray Burdis|Gandhi (1982)
Ian Burfield|V for Vendetta (2006)
James Burge (I)|Annie Hall (1977)
Dennis Burgess|The Elephant Man (1980)
Dominic Burgess|Batman Begins (2005)
Michael Burgess (I)|Forrest Gump (1994)
Arthur Burghardt|Network (1976)
Grant Burgin|V for Vendetta (2006)
Jim Burk|Chinatown (1974)
Art Burke|Stand by Me (1986)
Brendan Burke (IV)|The Departed (2006)
James Burke (I)|It Happened One Night (1934)
James Burke (I)|The Maltese Falcon (1941)
John Burke (V)|Batman Begins (2005)
Maclean Burke|Saving Private Ryan (1998)
Victor Burke (I)|Saving Private Ryan (1998)
Scott Burkett|Magnolia (1999)
Gedeon Burkhard|Inglourious Basterds (2009)
Harry Burkhardt|Citizen Kane (1941)
Harry Burkhardt|Mr. Smith Goes to Washington (1939)
Jernard Burks|Leon (1994)
Ted Burnett|Star Wars (1977)
Edmund Burns|It Happened One Night (1934)
Edward Burns (I)|Saving Private Ryan (1998)
John Burns (IV)|Braveheart (1995)
William H. Burns|The Bourne Ultimatum (2007)
Raymond Burr|Rear Window (1954)
Dale Burroughs|The Deer Hunter (1978)
Peter Burroughs (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Bill Burrows (I)|Network (1976)
Benny Burt|The Apartment (1960)
Corey Burton (I)|Mononoke-hime (1997)
Frederick Burton|Mr. Smith Goes to Washington (1939)
John Burton (XII)|There Will Be Blood (2007)
Peter Burton (I)|A Clockwork Orange (1971)
Peter Burton (I)|Lawrence of Arabia (1962)
Richard Burton (I)|Who's Afraid of Virginia Woolf? (1966)
Robert Burton (I)|The Manchurian Candidate (1962)
Terrence Burton|The Big Lebowski (1998)
Tony Burton (I)|Rocky (1976)
Tony Burton (I)|The Shining (1980)
Ben Burtt|Star Wars: Episode VI - Return of the Jedi (1983)
Ben Burtt|WALLE (2008)
Douglas Busby|Magnolia (1999)
Steve Buscemi|Big Fish (2003)
Steve Buscemi|Fargo (1996)
Steve Buscemi|Monsters, Inc. (2001)
Steve Buscemi|Pulp Fiction (1994)
Steve Buscemi|Reservoir Dogs (1992)
Steve Buscemi|The Big Lebowski (1998)
Adam Busch|Leon (1994)
Fabian Busch|Der Untergang (2004)
Jeff Busch|The Silence of the Lambs (1991)
Paul Busch (I)|Judgment at Nuremberg (1961)
Adrian Bush|Full Metal Jacket (1987)
Grand L. Bush|Die Hard (1988)
James Bush (I)|Gone with the Wind (1939)
Mike Bush (VI)|Stalag 17 (1953)
Morris Bush|Star Wars: Episode V - The Empire Strikes Back (1980)
Robert Lewis Bush|The Elephant Man (1980)
Steven Bush (I)|Magnolia (1999)
Tommy Bush|Ed Wood (1994)
Humberto Busto|Amores perros (2000)
Michael Butcher (I)|The Matrix (1999)
Paul Butcher|Kaze no tani no Naushika (1984)
Paul Butcher|Tonari no Totoro (1988)
Dan Butler (I)|The Silence of the Lambs (1991)
David W. Butler|Leon (1994)
Garner Butler|Unforgiven (1992)
Gerard Butler|How to Train Your Dragon (2010)
John Butler (I)|Strangers on a Train (1951)
William Butler (III)|The Gold Rush (1925)
Haymon Maria Buttinger|Schindler's List (1993)
Martin Butzke|Der Untergang (2004)
Ishaq Bux|Raiders of the Lost Ark (1981)
Lando Buzzanca|Ben-Hur (1959)
Ezra Buzzington|Fight Club (1999)
Ezra Buzzington|Magnolia (1999)
Ezra Buzzington|The Prestige (2006)
Bo Byers|Apocalypse Now (1979)
Dmitri Bykovsky|Der Untergang (2004)
Bengt Bylund|Lat den ratte komma in (2008)
Eddie Byrne|Star Wars (1977)
Gabriel Byrne|The Usual Suspects (1995)
Gerry Robert Byrne|Eternal Sunshine of the Spotless Mind (2004)
Michael Byrne (I)|Braveheart (1995)
Michael Byrne (I)|Indiana Jones and the Last Crusade (1989)
C.J. Byrnes (I)|Twelve Monkeys (1995)
Jeffrey Byron|Star Trek (2009)
Michael Byron (I)|The Departed (2006)
Fabien Behar|Le fabuleux destin d'Amelie Poulain (2001)
Maurice Benichou|Le fabuleux destin d'Amelie Poulain (2001)
Paul Bos|Paths of Glory (1957)
James Caan (I)|The Godfather (1972)
James Caan (I)|The Godfather: Part II (1974)
Jordi Caballero|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Joseph Luis Caballero|The Dark Knight (2008)
Bruce Cabot|King Kong (1933)
Lorenzo Caccialanza|Die Hard (1988)
Frank Cady|Rear Window (1954)
Nigel Caesar|Slumdog Millionaire (2008)
Matteo Cafiso|Once Upon a Time in America (1984)
Adam Caine|The Elephant Man (1980)
Howard Caine|Judgment at Nuremberg (1961)
Michael Caine (I)|Batman Begins (2005)
Michael Caine (I)|Children of Men (2006)
Michael Caine (I)|Inception (2010)
Michael Caine (I)|Sleuth (1972)
Michael Caine (I)|The Dark Knight (2008)
Michael Caine (I)|The Prestige (2006)
Pasquale Cajano|Casino (1995)
Michael Calandrino|Goodfellas (1990)
Paul Calderon (I)|Pulp Fiction (1994)
Sonny Caldinez|Raiders of the Lost Ark (1981)
Joel Calendrillo|Goodfellas (1990)
Louis Calhern|Duck Soup (1933)
Louis Calhern|Notorious (1946)
William Calkins (I)|Citizen Kane (1941)
R.D. Call|Into the Wild (2007)
Andy Callaghan|Children of Men (2006)
Andy Callaghan|V for Vendetta (2006)
Conor Liam Callaghan|Gran Torino (2008)
Devon Callaghan|Gran Torino (2008)
Julius Callahan|Ratatouille (2007)
Lee Callahan|Annie Hall (1977)
William Callaway|Annie Hall (1977)
Tony Calle|The Social Network (2010)
Joseph Calleia|Touch of Evil (1958)
Ray Calleja|Gladiator (2000)
Stephen Callender-Ferrier|Lock, Stock and Two Smoking Barrels (1998)
Guillermo Calles|The Treasure of the Sierra Madre (1948)
Dick Callinan|The Exorcist (1973)
Simon Callow|Amadeus (1984)
Max Callum|The King's Speech (2010)
Daniel Caltagirone|The Pianist (2002)
E.H. Calvert|Duck Soup (1933)
Giulio Cali|8 1/2 (1963)
Ramon Camacho|Gran Torino (2008)
Roberto Camardiel|Per qualche dollaro in piu (1965)
Robert Camero|La vita e bella (1997)
Don Cameron (II)|Stalag 17 (1953)
Earl Cameron (I)|Inception (2010)
Terry Camilleri|The Truman Show (1998)
Gero Camilo|Cidade de Deus (2002)
Nelson Camp|Once Upon a Time in America (1984)
Bruce Campbell (I)|Fargo (1996)
Charles L. Campbell|Back to the Future (1985)
Gerardo Campbell|Amores perros (2000)
Jeff Campbell (VII)|Big Fish (2003)
Ken Hudson Campbell|Groundhog Day (1993)
Lindsay Campbell (I)|A Clockwork Orange (1971)
R. Campbell|The Gold Rush (1925)
Richard Campbell (V)|V for Vendetta (2006)
Rob Campbell (I)|Unforgiven (1992)
Rory Campbell|Batman Begins (2005)
Sol Campbell|Snatch. (2000)
Tommy Campbell|The Dark Knight (2008)
Vernon Campbell|The Wrestler (2008)
Vernon Campbell|Twelve Monkeys (1995)
Frank Campeau|The Kid (1921)
Chicho Campillo|El laberinto del fauno (2006)
Jaime Campos (II)|The Usual Suspects (1995)
Victor Campos (I)|Scarface (1983)
Andrew Camuccio|Heat (1995)
Brian Camuccio|Heat (1995)
Thomas E. Camuti|Goodfellas (1990)
Jose Canalejas|Per qualche dollaro in piu (1965)
Urbain Cancelier|Le fabuleux destin d'Amelie Poulain (2001)
Candy Candido|The Wizard of Oz (1939)
Charles Cane|The Killing (1956)
Gene Canfield|Goodfellas (1990)
Enzo Cannavale|Nuovo Cinema Paradiso (1988)
Robert Hammer Cannerday|Scarface (1983)
Wayne Canney|The Incredibles (2004)
J.D. Cannon|Cool Hand Luke (1967)
Joe Cannon (III)|Good Will Hunting (1997)
Kevin Cannon (I)|The Wrestler (2008)
Matt Cannon (II)|The Wrestler (2008)
Jim Cantafio|Million Dollar Baby (2004)
Giorgio Cantarini|Gladiator (2000)
Giorgio Cantarini|La vita e bella (1997)
George Cantero|Apocalypse Now (1979)
Mickey Cantwell|Snatch. (2000)
Joe Canutt|Ben-Hur (1959)
Yakima Canutt|Gone with the Wind (1939)
Jason Ninh Cao|Snatch. (2000)
Otello Capanna|Ben-Hur (1959)
Barney Capehart|King Kong (1933)
Peter Capell|Paths of Glory (1957)
Truman Capote|Annie Hall (1977)
Christopher S. Capp|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Mark Capri|Star Wars: Episode V - The Empire Strikes Back (1980)
Eolo Capritti|Ladri di biciclette (1948)
Franco Caracciolo|8 1/2 (1963)
Paul Carafotes|Fight Club (1999)
Julien Carbon|Fa yeung nin wa (2000)
Nestor Carbonell|The Dark Knight (2008)
Fabio Cardascia|Batman Begins (2005)
Ben Cardinal|Unforgiven (1992)
Harry Carey|Mr. Smith Goes to Washington (1939)
Leonard Carey|Rebecca (1940)
Leonard Carey|Strangers on a Train (1951)
Roland Carey|Trois couleurs: Rouge (1994)
Timothy Carey|Paths of Glory (1957)
Timothy Carey|The Killing (1956)
Tony Carey (II)|Full Metal Jacket (1987)
Carmine Caridi|The Godfather: Part II (1974)
Lars-Owe Carlberg|Fanny och Alexander (1982)
Peter Carlberg|Lat den ratte komma in (2008)
George M. Carleton|Casablanca (1942)
Christopher Carley|Gran Torino (2008)
Paolo Carlini|Roman Holiday (1953)
Gary Carlson (I)|Gone with the Wind (1939)
Robert Carlyle (I)|Trainspotting (1996)
Paul Carmello|Raging Bull (1980)
Hoagy Carmichael|The Best Years of Our Lives (1946)
Tullio Carminati|Roman Holiday (1953)
Ryan Carnes|Letters from Iwo Jima (2006)
John J. Carney|A Clockwork Orange (1971)
Larry Carney|Apocalypse Now (1979)
Liam Carney|Braveheart (1995)
Robert Caroline|There Will Be Blood (2007)
Memmo Carotenuto|Ladri di biciclette (1948)
Horace B. Carpenter|Gone with the Wind (1939)
John Carpenter (I)|The Thing (1982)
John Carpenter (III)|Network (1976)
Ken Carpenter (I)|Mr. Smith Goes to Washington (1939)
Paul Carpenter (I)|The Third Man (1949)
Robert 'Duckie' Carpenter|American History X (1998)
Brad Carr (II)|There Will Be Blood (2007)
Leland Carr|The Gold Rush (1925)
David Carradine (I)|Kill Bill: Vol. 1 (2003)
David Carradine (I)|Kill Bill: Vol. 2 (2004)
John Carradine|The Grapes of Wrath (1940)
John Carradine|The Man Who Shot Liberty Valance (1962)
John Carrafa|Amadeus (1984)
Rene Carrasco|Scarface (1983)
Behal Carrell|M (1931)
Emile Carrer|Ben-Hur (1959)
Jim Carrey|Eternal Sunshine of the Spotless Mind (2004)
Jim Carrey|The Truman Show (1998)
Albert Carrier|Scarface (1983)
Nigel Carrington|The Dark Knight (2008)
E.J. Carroll (II)|The Wrestler (2008)
Larry Carroll (I)|Rocky (1976)
Leo G. Carroll|North by Northwest (1959)
Leo G. Carroll|Rebecca (1940)
Leo G. Carroll|Strangers on a Train (1951)
Mickey Carroll|The Wizard of Oz (1939)
Robert Carroll (I)|Jaws (1975)
Jack Carson (I)|Arsenic and Old Lace (1944)
Jack Carson (I)|Mr. Smith Goes to Washington (1939)
Ken Carson (I)|It Happened One Night (1934)
Kit Carson (I)|Psycho (1960)
Wayne Carson|Annie Hall (1977)
Harry Carter (II)|The Manchurian Candidate (1962)
John Carter (IV)|Scarface (1983)
Michael Carter (I)|Star Wars: Episode VI - Return of the Jedi (1983)
Mitch Carter (I)|Hauru no ugoku shiro (2004)
Mitch Carter (I)|Kaze no tani no Naushika (1984)
T.K. Carter|The Thing (1982)
Arthur Cartwright|Gran Torino (2008)
Peter Cartwright (I)|Gandhi (1982)
Phillip V. Caruso|Casino (1995)
Phillip V. Caruso|Twelve Monkeys (1995)
Burr Caruth|Mr. Smith Goes to Washington (1939)
Randall Carver|There Will Be Blood (2007)
Antonio Casale (I)|Il buono, il brutto, il cattivo. (1966)
Roger Casamajor|El laberinto del fauno (2006)
Antonio Casas|Il buono, il brutto, il cattivo. (1966)
Salvatore Cascio|Nuovo Cinema Paradiso (1988)
Gerald Case|The Elephant Man (1980)
John Case (I)|Life of Brian (1979)
Max Casella|Ed Wood (1994)
Richard Caselnova|Scarface (1983)
Clem Caserta|Casino (1995)
Clem Caserta|Goodfellas (1990)
Clem Caserta|Once Upon a Time in America (1984)
Frankie Caserta|Once Upon a Time in America (1984)
Taggart Casey|North by Northwest (1959)
Anthony Caso|Goodfellas (1990)
John L. Cason|High Noon (1952)
Dean Casper|Casino (1995)
F. Marcus Casper|Casino (1995)
Marc Cass|Saving Private Ryan (1998)
Maurice Cass|Mr. Smith Goes to Washington (1939)
John Cassavetes (I)|Rosemary's Baby (1968)
Jean-Pierre Cassel|Le scaphandre et le papillon (2007)
Vincent Cassel|Black Swan (2010)
Bobby Cassidy|Rocky (1976)
Ted Cassidy|Butch Cassidy and the Sundance Kid (1969)
John Cassini|Se7en (1995)
Claudio Castagnoli|The Wrestler (2008)
Craig Castaldo|The Departed (2006)
Richard S. Castellano|The Godfather (1972)
Enzo G. Castellari|Inglourious Basterds (2009)
Chris Castillejo|Platoon (1986)
Heriberto Castillo|Amores perros (2000)
Patricio Castillo (I)|Amores perros (2000)
Jeff Castle|Star Trek (2009)
William Castle (I)|Rosemary's Baby (1968)
Jarvis Caston|Stalag 17 (1953)
Amerigo Castrighella|Il buono, il brutto, il cattivo. (1966)
Felix Castro|Pirates of the Caribbean: The Curse of the Black Pearl (2003)
Franco Catalano|Nuovo Cinema Paradiso (1988)
Bill Catching|North by Northwest (1959)
Chris Cate|Big Fish (2003)
Reg E. Cathey|Se7en (1995)
Rico Cattani|Butch Cassidy and the Sundance Kid (1969)
Leo Cattozzo|Le notti di Cabiria (1957)
Allan Cavan|Mr. Smith Goes to Washington (1939)
J. Cortes Cavanillas|Roman Holiday (1953)
Marc Cavell|Cool Hand Luke (1967)
Glen Cavender|The General (1926)
Dick Cavett|Annie Hall (1977)
Dick Cavett|Forrest Gump (1994)
Jess Cavin|To Kill a Mockingbird (1962)
Martin Cavina|Amadeus (1984)
James Cawley (II)|Star Trek (2009)
Alec Cawthorne (I)|Sleuth (1972)
John Cazale|Dog Day Afternoon (1975)
John Cazale|The Deer Hunter (1978)
John Cazale|The Godfather (1972)
John Cazale|The Godfather: Part II (1974)
Roberto Canedo|The Treasure of the Sierra Madre (1948)
John Ceallach|Inception (2010)
Jonathan Cecil|Barry Lyndon (1975)
Teco Celio|Trois couleurs: Rouge (1994)
Peter Cellier|Barry Lyndon (1975)
John Cenatiempo|The Departed (2006)
Antonio Centa|Le salaire de la peur (1953)
Jim Centofanti|Requiem for a Dream (2000)
Kiko Cerone|El secreto de sus ojos (2009)
Alexander Cerqueira|Cidade de Deus (2002)
Daniel Cerqueira|Saving Private Ryan (1998)
Saturno Cerra|C'era una volta il West (1968)
Saturno Cerra|Il buono, il brutto, il cattivo. (1966)
Gary Carlos Cervantes|Scarface (1983)
Carlos Cestero|Scarface (1983)
David Chadwick (II)|The Dark Knight (2008)
Marcus Chait|Million Dollar Baby (2004)
Scott Chait|Requiem for a Dream (2000)
Shaun Chaiyabhat|Groundhog Day (1993)
Krieng Chaiyapuk|The Deer Hunter (1978)
M.R.B. Chakrabandhu|The Bridge on the River Kwai (1957)
Eric Challier|Leon (1994)
Edward Chalmers Jr.|Jaws (1975)
Georges Chamarat|Les diaboliques (1955)
Howland Chamberlain|High Noon (1952)
Howland Chamberlain|The Best Years of Our Lives (1946)
Matthew Chamberlain|Avatar (2009)
Darin Chambers|Raiders of the Lost Ark (1981)
Hennen Chambers|L.A. Confidential (1997)
Robert Chambers (I)|Jaws (1975)
Wheaton Chambers|His Girl Friday (1940)
Brad Champagne (I)|Star Trek (2009)
Chike Chan|Batman Begins (2005)
Man-Lei Chan|Fa yeung nin wa (2000)
Robert 'Toshi' Kar Yuen Chan|The Departed (2006)
Spencer Chan (I)|Casablanca (1942)
Spencer Chan (I)|The Treasure of the Sierra Madre (1948)
Victor Chan (I)|The Departed (2006)
Michael Chance (I)|Twelve Monkeys (1995)
Norman Chancer|Gandhi (1982)
Norman Chancer|Star Wars: Episode V - The Empire Strikes Back (1980)
Eddy Chandler|Gone with the Wind (1939)
Eddy Chandler|It Happened One Night (1934)
Eddy Chandler|Mr. Smith Goes to Washington (1939)
George Chandler (I)|Mr. Smith Goes to Washington (1939)
Lane Chandler|It's a Wonderful Life (1946)
Raymond Chandler|Double Indemnity (1944)
Simon Chandler (I)|The King's Speech (2010)
Lon Chaney Jr.|High Noon (1952)
Earl Chaney (II)|Casino (1995)
Xia Soua Chang|Gran Torino (2008)
Billy Chapin (I)|The Night of the Hunter (1955)
Jack Chapin (I)|King Kong (1933)
Michael Chapin|It's a Wonderful Life (1946)
Michael Chapin|The Night of the Hunter (1955)
Charles Chaplin|City Lights (1931)
Charles Chaplin|Modern Times (1936)
Charles Chaplin|The Gold Rush (1925)
Charles Chaplin|The Great Dictator (1940)
Charles Chaplin|The Kid (1921)
Graham Chapman|Life of Brian (1979)
Graham Chapman|Monty Python and the Holy Grail (1975)
J.R.M. Chapman|Lawrence of Arabia (1962)
John Chapman (V)|Star Wars (1977)
Kevin Chapman (I)|Mystic River (2003)
David Charkham|2001: A Space Odyssey (1968)
Zachary Charles (II)|On the Waterfront (1954)
Ian Charleson|Gandhi (1982)
Jordan Charney|Network (1976)
Michael Charrois|Unforgiven (1992)
Spencer Charters|Arsenic and Old Lace (1944)
Jeff Chase (I)|Star Trek (2009)
Porter Chase|Citizen Kane (1941)
Geoffrey Chater|Barry Lyndon (1975)
Geoffrey Chater|Gandhi (1982)
Bill Chatham (II)|Singin' in the Rain (1952)
Shekhar Chatterjee|Gandhi (1982)
Virendra Chatterjee|Slumdog Millionaire (2008)
Tom Chatterton|It's a Wonderful Life (1946)
Bryan Chattoo|Requiem for a Dream (2000)
Raj Chaturvedi|Gandhi (1982)
Salim Chaus|Slumdog Millionaire (2008)
Casey Chavez|Terminator 2: Judgment Day (1991)
Don Cheadle|Hotel Rwanda (2004)
Jack Cheatham|It's a Wonderful Life (1946)
Clement Chebli|Le fabuleux destin d'Amelie Poulain (2001)
Gary Cheeseman|Full Metal Jacket (1987)
Ken Cheeseman|Mystic River (2003)
Jack Chefe|All About Eve (1950)
Jack Chefe|The Big Sleep (1946)
Edison Chen|Mou gaan dou (2002)
Edison Chen|The Dark Knight (2008)
Kelly Lai Chen|Fa yeung nin wa (2000)
Lyman Chen|The Departed (2006)
Jeff Chena|The Wrestler (2008)
Max Chernov|Star Trek (2009)
Lucius Wyatt Cherokee|Leon (1994)
Gene Chervow|Citizen Kane (1941)
Harry Cheshire|It's a Wonderful Life (1946)
Harry Cheshire|The Best Years of Our Lives (1946)
Patrick Chesnais|Le scaphandre et le papillon (2007)
Alexis Chesnakov|The Third Man (1949)
Li Tin Cheung|Mou gaan dou (2002)
Roy Cheung|Fa yeung nin wa (2000)
Tung Cho 'Joe' Cheung|Fa yeung nin wa (2000)
Jon Chevalier|Children of Men (2006)
Peter Cheyenne|Requiem for a Dream (2000)
Tanay Chheda|Slumdog Millionaire (2008)
Chao Li Chi|The Prestige (2006)
Dae-han Chi|Oldeuboi (2003)
Minoru Chiaki|Ikiru (1952)
Minoru Chiaki|Rashomon (1950)
Minoru Chiaki|Shichinin no samurai (1954)
Dominic Chianese|Dog Day Afternoon (1975)
Dominic Chianese|The Godfather: Part II (1974)
Giulio Chiari|Ladri di biciclette (1948)
Ichiro Chiba|Ikiru (1952)
Ichiro Chiba|Shichinin no samurai (1954)
Ichiro Chiba|Yojinbo (1961)
Shigeru Chiba (I)|Tonari no Totoro (1988)
Sonny Chiba|Kill Bill: Vol. 1 (2003)
Sonni Chidiebere|District 9 (2009)
Sonni Chidiebere|Hotel Rwanda (2004)
Michael Chieffo (I)|L.A. Confidential (1997)
Michael Chiklis|Sen to Chihiro no kamikakushi (2001)
Costas Dino Chimona|Full Metal Jacket (1987)
James Chinlund|Requiem for a Dream (2000)
Anthony Chinn|Raiders of the Lost Ark (1981)
H.C. Chisholm|The Gold Rush (1925)
Jimmy Chisholm|Braveheart (1995)
John Chitwood|There Will Be Blood (2007)
Mark Chiu|Batman Begins (2005)
Fred Chiverton|Braveheart (1995)
Jamie Cho|Batman Begins (2005)
John Cho|American Beauty (1999)
John Cho|Star Trek (2009)
Matt Cho|The Dark Knight (2008)
Ilram Choi|Avatar (2009)
Min Choi|Bom yeoreum gaeul gyeoul geurigo bom (2003)
Min-sik Choi|Oldeuboi (2003)
Marcus Chong|The Matrix (1999)
Po-chun Chow|Fa yeung nin wa (2000)
Jeff Christian (II)|Batman Begins (2005)
Troy Christian|Forrest Gump (1994)
Christiano|Cidade de Deus (2002)
George Christy|Die Hard (1988)
George Christy|Se7en (1995)
James V. Christy|Raging Bull (1980)
Ken Christy (I)|Sunset Blvd. (1950)
Henry Milton Chu|The Dark Knight (2008)
Lee Wah Chu|Mou gaan dou (2002)
Kevin Chui|The Social Network (2010)
Jose Chavez|Butch Cassidy and the Sundance Kid (1969)
Jose Chavez|The Wild Bunch (1969)
John 'Cha Cha' Ciarcia|Goodfellas (1990)
Carl Ciarfalio|Casino (1995)
Carl Ciarfalio|Fight Club (1999)
Luigi Ciavarro|C'era una volta il West (1968)
Luigi Ciavarro|Il buono, il brutto, il cattivo. (1966)
Peter Cicale|Goodfellas (1990)
Johnny Cicco|The Departed (2006)
Jude Ciccolella|Million Dollar Baby (2004)
Jude Ciccolella|Sin City (2005)
Jude Ciccolella|The Shawshank Redemption (1994)
James Ciccone|The Bourne Ultimatum (2007)
Rick Cicetti|Die Hard (1988)
Tano Cimarosa|Nuovo Cinema Paradiso (1988)
Matt Cinquanta|Fight Club (1999)
Roberto Citran|Hotel Rwanda (2004)
Michael Citriniti|Goodfellas (1990)
Franco Citti|The Godfather (1972)
Harry Claremont|King Kong (1933)
Jean Clarieux|Les diaboliques (1955)
Daniel Clarin|Requiem for a Dream (2000)
Melvin Leno Clark III|Avatar (2009)
Andrew B. Clark|Platoon (1986)
Blake Clark (I)|Toy Story 3 (2010)
Cliff Clark (I)|High Noon (1952)
Cliff Clark (I)|The Grapes of Wrath (1940)
Davison Clark|Duck Soup (1933)
Davison Clark|Mr. Smith Goes to Washington (1939)
Edward Clark (I)|It's a Wonderful Life (1946)
Edward Clark (I)|King Kong (1933)
Edward Clark (I)|Strangers on a Train (1951)
Eric Clark (I)|Pulp Fiction (1994)
Ernest Clark (I)|Gandhi (1982)
Fred Clark (I)|Sunset Blvd. (1950)
J.J. Clark (II)|Citizen Kane (1941)
Lyle Clark|Singin' in the Rain (1952)
Russ Clark (I)|The Grapes of Wrath (1940)
Russ Clark (I)|The Philadelphia Story (1940)
Sanders Clark|Dial M for Murder (1954)
Spencer Treat Clark|Gladiator (2000)
Spencer Treat Clark|Mystic River (2003)
Steadman Clark|A Clockwork Orange (1971)
Wallis Clark|Gone with the Wind (1939)
Wallis Clark|It Happened One Night (1934)
Wayne Clark (I)|Full Metal Jacket (1987)
William Paul Clark|Kill Bill: Vol. 2 (2004)
Cam Clarke|Kaze no tani no Naushika (1984)
Gordon B. Clarke|The Hustler (1961)
John Clarke (I)|Judgment at Nuremberg (1961)
Philip L. Clarke|Beauty and the Beast (1991)
Richard Clarke (I)|Notorious (1946)
Warren Clarke|A Clockwork Orange (1971)
David Clatworthy|District 9 (2009)
Vic Clay|The Departed (2006)
Patrick Clear|The Dark Knight (2008)
Bo Cleary|The Departed (2006)
John Cleese|Life of Brian (1979)
John Cleese|Monty Python and the Holy Grail (1975)
Christian Clemenson|The Big Lebowski (1998)
Francesco Clemente (I)|Good Will Hunting (1997)
Steve Clemente (I)|King Kong (1933)
John Clements (I)|Gandhi (1982)
Bob Clendenin|L.A. Confidential (1997)
Bob Clendenin|Star Trek (2009)
David Clennon|The Thing (1982)
Nicolas Clerc|Inception (2010)
Chris Cleveland (I)|The Prestige (2006)
John Clifford (I)|2001: A Space Odyssey (1968)
Montgomery Clift|Judgment at Nuremberg (1961)
John Clive (I)|A Clockwork Orange (1971)
Robert Clotworthy|Kaze no tani no Naushika (1984)
Chester Clute|Arsenic and Old Lace (1944)
Sidney Clute|The Best Years of Our Lives (1946)
